Type,Environment,Width,Depth,Amplitude,Wavelength,Sandbody thickness,Belt Width,Source
LOW SINUSITY,FLUVIAL UNDEFINED,1510.469263,40.9517109,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,1528.524666,4.969043582,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,2330.913862,9.809451271,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,2668.459485,3.596450208,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,4515.694483,4.735872948,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,7397.585124,14.34788868,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,1.705136257,0.713398347,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,1.578794791,0.613424848,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,1.845630296,0.562191505,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,2.212118727,0.612454248,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,28.6033055,2.997026039,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,30.92990874,2.807773392,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,52.95858347,9.814461551,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,63.49781554,10.02042383,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,243.4529461,25.22910181,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,284.1491412,30.62623856,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,688.5328978,18.15252131,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,671.7979934,14.31201357,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,785.1487186,13.69630738,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,1585.58834,9.052461648,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,1804.339921,9.864199966,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,2732.780919,9.844993922,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,2646.621676,29.02447277,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,2939.628772,23.36972158,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,434.9988318,4.559679427,,,,,"Fielding and Crane, 1987"
LOW SINUSITY,FLUVIAL UNDEFINED,392.5956521,3.674910079,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,67.71587424,1.104100172,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,97.51601658,0.850332596,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,172.6979725,0.744878584,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,321.1919927,1.09606023,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,438.6168945,1.048141144,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,553.6457672,1.166522874,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,614.4156956,1.092727559,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,696.9711332,2.089031473,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,288.5087355,2.052833356,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,336.5725375,2.717097648,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,372.289398,4.563013104,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,162.0194442,6.200167506,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,657.3087766,6.862721417,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,730.1682699,5.407489053,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,593.8134548,4.652532531,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,642.1926764,4.26551071,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,2176.105911,3.567511108,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,3860.866894,2.259504439,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,6951.69398,10.45877396,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,13298.05845,10.4269731,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,13987.56553,13.22335229,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,11365.77109,13.23624435,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,11947.80971,18.702415,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,14707.44823,17.89347301,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,16746.71955,17.50008741,,,,,"Fielding and Crane, 1987"
BRAIDED,FLUVIAL UNDEFINED,1845.686501,17.68222039,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,48.04675247,1.370707012,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,55.09594866,11.25135478,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,56.47041119,19.60431904,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,151.4497941,1.461347212,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,167.2682641,11.72304127,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,205.4222795,1.638254357,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,255.0239947,4.636444309,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,267.1742398,22.88400583,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,321.4121628,1.284288718,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,417.7516308,1.208608314,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,440.5457643,21.79779595,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,467.2258902,12.21928039,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,551.072225,16.11787148,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,554.1702484,5.95869704,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,734.8973935,2.647463026,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,816.7504009,6.993742794,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,936.6936138,9.663370522,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,1584.91099,13.02281201,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,1663.238319,47.57730562,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,2463.497996,23.17675094,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,2541.467298,12.69673553,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,2768.031252,8.764352502,,,,,"Fielding and Crane, 1987"
UNKNOWN,FLUVIAL UNDEFINED,4306.964479,12.96183329,,,,,"Fielding and Crane, 1987"
